EXPORTED XY-GRAPH DATA
141 2 2
Gate Voltage
-3.2000000000e+01 -7.3511421200e-15 
-3.2500000000e+01 -7.4705851580e-15 
-3.3000000000e+01 -7.5897370670e-15 
-3.3500000000e+01 -7.7086118090e-15 
-3.4000000000e+01 -7.8272220560e-15 
-3.4500000000e+01 -7.9455794000e-15 
-3.5000000000e+01 -8.0636945120e-15 
-3.5500000000e+01 -8.1815772750e-15 
-3.6000000000e+01 -8.2992368850e-15 
-3.6500000000e+01 -8.4166819350e-15 
-3.7000000000e+01 -8.5339204850e-15 
-3.7500000000e+01 -8.6509601160e-15 
-3.8000000000e+01 -8.7678079730e-15 
-3.8500000000e+01 -8.8844686230e-15 
-3.9000000000e+01 -9.0009528940e-15 
-3.9500000000e+01 -9.1172645960e-15 
-4.0000000000e+01 -9.2334094800e-15 
-4.0500000000e+01 -9.3493930120e-15 
-4.1000000000e+01 -9.4652203920e-15 
-4.1500000000e+01 -9.5808965720e-15 
-4.2000000000e+01 -9.6964262730e-15 
-4.2500000000e+01 -9.8118139970e-15 
-4.3000000000e+01 -9.9270640420e-15 
-4.3500000000e+01 -1.0042180510e-14 
-4.4000000000e+01 -1.0157167340e-14 
-4.4500000000e+01 -1.0272028260e-14 
-4.5000000000e+01 -1.0386766890e-14 
-4.5500000000e+01 -1.0501386660e-14 
-4.6000000000e+01 -1.0615890870e-14 
-4.6500000000e+01 -1.0730282670e-14 
-4.7000000000e+01 -1.0844565110e-14 
-4.7500000000e+01 -1.0958741100e-14 
-4.8000000000e+01 -1.1072813420e-14 
-4.8500000000e+01 -1.1186784780e-14 
-4.9000000000e+01 -1.1300657740e-14 
-4.9500000000e+01 -1.1414434810e-14 
-5.0000000000e+01 -1.1528118360e-14 
-5.0500000000e+01 -1.1641710700e-14 
-5.1000000000e+01 -1.1755214040e-14 
-5.1500000000e+01 -1.1868630530e-14 
-5.2000000000e+01 -1.1981962220e-14 
-5.2500000000e+01 -1.2095211090e-14 
-5.3000000000e+01 -1.2208379080e-14 
-5.3500000000e+01 -1.2321468020e-14 
-5.4000000000e+01 -1.2434479690e-14 
-5.4500000000e+01 -1.2547415840e-14 
-5.5000000000e+01 -1.2660278130e-14 
-5.5500000000e+01 -1.2773068160e-14 
-5.6000000000e+01 -1.2885787500e-14 
-5.6500000000e+01 -1.2998437670e-14 
-5.7000000000e+01 -1.3111020120e-14 
-5.7500000000e+01 -1.3223536250e-14 
-5.8000000000e+01 -1.3335987450e-14 
-5.8500000000e+01 -1.3448375060e-14 
-5.9000000000e+01 -1.3560700330e-14 
-5.9500000000e+01 -1.3672964520e-14 
-6.0000000000e+01 -1.3785168870e-14 
